latitude,longitude,address,event_cause,requires_road_closure,description,veh_type,corridor,zone,junction,resolution_minutes,is_planned,hour_of_day,day_of_week,month,split_timestamp
12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,Starting problem,heavy_vehicle,ORR East 1,unknown,unknown,10.37758925,0,9,1,1,2024-01-30 09:37:24.173000+05:30
12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,Non-corridor,unknown,LalbaghMainGateJunc,38.74983805,0,10,1,1,2024-01-30 10:26:32.348000+05:30
12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,False,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,unknown,Non-corridor,unknown,unknown,293.3450075,0,1,4,3,2024-03-08 01:09:29.764000+05:30
12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,Hosur Road,unknown,unknown,27.2487523,0,0,4,3,2024-03-08 00:55:04.302000+05:30
12.9463911,77.597326,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,no,unknown,Non-corridor,unknown,unknown,843.3240253,0,11,3,3,2024-03-07 11:39:19.361000+05:30
12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",pot_holes,False,A,unknown,unknown,unknown,unknown,9.079776783333333,0,13,1,1,2024-01-30 13:55:57.212000+05:30
12.9936273,77.5844677,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,Near cm office [PERSON] towards B02 junction sir,unknown,Bellary Road 1,unknown,unknown,106.41915116666668,0,1,4,3,2024-03-08 01:50:31.140000+05:30
13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",others,False,mei signal off due to power Problem,unknown,Tumkur Road,unknown,unknown,133.52983253333335,0,1,4,3,2024-03-08 01:57:15.443000+05:30
12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,ORR East 1,unknown,unknown,55.541728516666666,0,2,2,1,2024-01-31 02:57:52.454000+05:30
12.9849833,77.5883633,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,Bellary Road 1,unknown,unknown,69.32987603333332,0,3,2,1,2024-01-31 03:17:40.463000+05:30
12.9842019,77.7336286,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",road_conditions,False,,unknown,Non-corridor,unknown,unknown,61.27697078333333,0,3,2,1,2024-01-31 03:24:56.083000+05:30
12.9848257,77.7527586,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",vehicle_breakdown,False,Gear jam not moving traffic slow moving,private_car,Non-corridor,unknown,unknown,36.41233746666667,0,3,2,1,2024-01-31 03:36:02.276000+05:30
12.9368467,77.6928653,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",vehicle_breakdown,False,Kadubisanahalli toward devarabisnahalli car starting problem,private_car,ORR East 1,unknown,unknown,10.513486133333334,0,4,2,1,2024-01-31 04:35:02.339000+05:30
12.9513113,77.4994888,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",vehicle_breakdown,False,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Non-corridor,unknown,unknown,83.22766023333334,0,4,2,1,2024-01-31 04:42:23.123000+05:30
12.9165983,77.583705,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",tree_fall,False,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,unknown,Non-corridor,unknown,unknown,321.23818236666665,0,2,4,3,2024-03-08 02:28:06.297000+05:30
12.9740913,77.5452252,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,Vehicle movment very slow,bmtc_bus,West of Chord Road,unknown,unknown,44.18835605,0,6,2,1,2024-01-31 06:03:27.663000+05:30
12.9740971,77.5449011,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,,bmtc_bus,West of Chord Road,unknown,unknown,41.797760616666665,0,6,2,1,2024-01-31 06:06:02.277000+05:30
12.9688926,77.569795,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",vehicle_breakdown,False,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",auto,Non-corridor,unknown,unknown,26.158530816666666,0,6,2,1,2024-01-31 06:54:44.373000+05:30
12.9449039,77.4949618,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",others,False,bmtc bus offroad in front of adishakti temple,unknown,Non-corridor,unknown,unknown,15.88912515,0,2,4,3,2024-03-08 02:55:26.425000+05:30
12.9873133,77.6163481,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",tree_fall,False,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,unknown,Non-corridor,unknown,unknown,116.8119772,0,2,4,3,2024-03-08 02:47:00.312000+05:30
12.8482637,77.6713737,"4th Main Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,Lgv breake down veersandar to [LOCATION] near ec 1,lcv,Non-corridor,unknown,unknown,83.47854003333333,0,8,2,1,2024-01-31 08:17:16.032000+05:30
12.96672,77.6093294,"Richmond Road, Mother Teresa Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",vehicle_breakdown,False,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,bmtc_bus,Mysore Road,unknown,unknown,52.75157615,0,10,2,1,2024-01-31 10:33:24.794000+05:30
