latitude,longitude,address,event_cause,requires_road_closure,description,veh_type,corridor,zone,junction,resolution_minutes,is_planned,hour_of_day,day_of_week,month,nearest_u,nearest_v,nearest_key,snap_distance_m,low_confidence_snap,centrality_score
12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,Starting problem,heavy_vehicle,ORR East 1,unknown,unknown,10.37758925,0,9,1,1,2387017507,6130226927,0,12.635904774526065,False,0.00010293644356904698
12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",vehicle_breakdown,False,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,Non-corridor,unknown,LalbaghMainGateJunc,38.74983805,0,10,1,1,428457143,12110804692,0,5.278643699355653,False,0.0038892493466702715
12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,False,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,unknown,Non-corridor,unknown,unknown,293.3450075,0,1,4,3,304275566,304275611,0,3.435247849175135,False,0.00020444392950475675
12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,Hosur Road,unknown,unknown,27.2487523,0,0,4,3,7478115627,10081538804,0,4.831020475725989,False,0.0018703124396555054
12.9463911,77.597326,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,no,unknown,Non-corridor,unknown,unknown,843.3240253,0,11,3,3,2227865094,459820578,0,0.9163664115590661,False,1.4997618403944438e-05
12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",pot_holes,False,A,unknown,unknown,unknown,unknown,9.079776783333331,0,13,1,1,1355297535,256093228,0,1.2442188527042097,False,0.0004571505812381725
12.9936273,77.5844677,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,Near cm office [PERSON] towards B02 junction sir,unknown,Bellary Road 1,unknown,unknown,106.41915116666668,0,1,4,3,12099921861,1989699986,0,2.2146411348172816,False,1.439256427090977e-05
13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",others,False,mei signal off due to power Problem,unknown,Tumkur Road,unknown,unknown,133.52983253333335,0,1,4,3,463429374,11886201284,0,0.8297052551370317,False,0.004925230757347546
12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,ORR East 1,unknown,unknown,55.541728516666666,0,2,2,1,12009305215,264129270,0,1.1979623354649762,False,0.0054481520101958055
12.9849833,77.5883633,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,Bellary Road 1,unknown,unknown,69.32987603333332,0,3,2,1,1436067882,12099941385,0,9.223054295082935,False,0.012489347185210933
12.9842019,77.7336286,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",road_conditions,False,,unknown,Non-corridor,unknown,unknown,61.27697078333333,0,3,2,1,10719511590,7137902395,0,2.1243869922192276,False,6.436746096113493e-06
12.9848257,77.7527586,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",vehicle_breakdown,False,Gear jam not moving traffic slow moving,private_car,Non-corridor,unknown,unknown,36.41233746666667,0,3,2,1,11197323405,11197323412,0,1.5891906219181222,False,0.00030547509622935417
12.9368467,77.6928653,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",vehicle_breakdown,False,Kadubisanahalli toward devarabisnahalli car starting problem,private_car,ORR East 1,unknown,unknown,10.513486133333334,0,4,2,1,12060861673,11428038812,0,2.443892078196285,False,0.0008309967945004441
12.9513113,77.4994888,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",vehicle_breakdown,False,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Non-corridor,unknown,unknown,83.22766023333334,0,4,2,1,13830433708,10081147914,0,2.7226932074049945,False,0.0044953076120959334
12.9165983,77.583705,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",tree_fall,False,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,unknown,Non-corridor,unknown,unknown,321.23818236666665,0,2,4,3,493556456,12152946472,0,3.6479481534337674,False,0.0037695387427747525
12.9740913,77.5452252,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,Vehicle movment very slow,bmtc_bus,West of Chord Road,unknown,unknown,44.18835605,0,6,2,1,1837378460,249084482,0,3.661010689479528,False,3.0896381261344767e-06
12.9740971,77.5449011,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,,bmtc_bus,West of Chord Road,unknown,unknown,41.797760616666665,0,6,2,1,1837378460,249084482,0,2.9407880114957505,False,3.0896381261344767e-06
12.9688926,77.569795,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",vehicle_breakdown,False,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",auto,Non-corridor,unknown,unknown,26.158530816666666,0,6,2,1,13685157113,456181343,0,0.19709829420413819,False,0.00702850191171359
12.9449039,77.4949618,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",others,False,bmtc bus offroad in front of adishakti temple,unknown,Non-corridor,unknown,unknown,15.88912515,0,2,4,3,10063095551,10063095552,0,12.364583011982473,False,6.436746096113493e-06
12.9873133,77.6163481,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",tree_fall,False,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,unknown,Non-corridor,unknown,unknown,116.8119772,0,2,4,3,2334345353,1837634274,0,3.6627825906238627,False,0.0008934589786171295
12.8482637,77.6713737,"4th Main Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,Lgv breake down veersandar to [LOCATION] near ec 1,lcv,Non-corridor,unknown,unknown,83.47854003333333,0,8,2,1,10148771374,10148771375,0,1700.7792210557943,True,6.436746096113493e-06
12.96672,77.6093294,"Richmond Road, Mother Teresa Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",vehicle_breakdown,False,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,bmtc_bus,Mysore Road,unknown,unknown,52.75157615,0,10,2,1,263155261,12462507904,0,5.312059296435076,False,0.06442212180898313
13.0253205,77.6400845,"5th A Cross Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",vehicle_breakdown,False,front wheel tyre burst,private_bus,ORR North 1,unknown,unknown,74.82553706666666,0,3,4,3,9586137594,335652651,0,11.126964737236078,False,0.00808242897050683
12.9480512,77.5343585,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,Nayadahallie towards BHEL incoming side traffic no problem,heavy_vehicle,Mysore Road,unknown,unknown,47.68990556666667,0,9,2,1,699684302,1780334125,0,4.9572316200696624,False,0.005393967481558723
13.0078566,77.5920655,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",tree_fall,False,tv tower tree falling,unknown,Non-corridor,unknown,unknown,8.620181266666666,0,3,4,3,11849948564,430043670,0,0.5360308547154178,False,0.0172787368529461
12.9238693,77.5536044,"Dr Rajkumar Puniya Bhoomi Road, Block 5 Phase 3, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",vehicle_breakdown,False,Vehicle off road @ [PERSON] due to clutch problem,others,ORR West 1,unknown,unknown,141.02791743333333,0,11,2,1,249072291,1466497856,0,3.104461287733115,False,0.012747396336204123
13.0331905,77.5901915,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",construction,False,keb cable work @anand [PERSON],unknown,Bellary Road 1,unknown,unknown,545.3734030166667,0,4,4,3,582567093,582567090,0,1.2470716393404102,False,0.0005706690353892301
12.9392829,77.5596125,"5th Cross Road, 2nd Block, Ashok Nagar, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)",tree_fall,True,bbmp tree cut maduvaru bandiruttare sir.,unknown,Non-corridor,unknown,unknown,61.79462865,0,4,4,3,2220570432,248838867,0,1.7918729829113043,False,1.0015576925552595e-05
12.9614398,77.5600867,"BGS Flyover, Mariyamma Layout, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",vehicle_breakdown,False,heat,lcv,Mysore Road,unknown,unknown,102.3569732,0,14,2,1,249083738,12167355977,0,0.10601072591316824,False,2.7214562494367847e-05
13.114305,77.60655,"Bellary Road, SN Halli, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",vehicle_breakdown,False,[LOCATION] onflyover to wards airport hgv lary tyer bust sir,heavy_vehicle,Bellary Road 2,unknown,unknown,102.53794968333334,0,2,3,2,3736935191,12506380472,0,1.713124540957353,False,2.2271141492552684e-06
12.9900159,77.5025425,"Magadi Main Road, Pattanagere Nagar, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",vehicle_breakdown,False,Brekdown traffick slov momnet,bmtc_bus,Magadi Road,unknown,unknown,106.48373361666668,0,2,3,2,1588411085,10841401110,0,7.129509761179448,False,0.001714156979363792
12.9216832,77.6199372,"Hosur Road, Market Square Value Mall, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",vehicle_breakdown,True,ಅಯ್ಯಪ್ಪ ಜಂಕ್ಷನ್ ಇಂದ ಹೋಗುವ ಮಾರ್ಗ ಮಧ್ಯೆ ಕಸದ ಲಾರಿ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಸರ್,heavy_vehicle,Hosur Road,unknown,unknown,75.3592525,0,1,3,2,1617743335,11964440742,0,5.868438193919651,False,0.02714746585306196
13.0161873,77.7093516,"Seegehalli Main Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",pot_holes,True,Path holes traffic slow movement sir,unknown,Non-corridor,unknown,unknown,365.2268505833334,0,6,6,1,570496111,13374163053,0,1.4144521192657444,False,0.004223908649699404
12.938565,77.6979933,"Panathur Main Road, Mariyappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",water_logging,False,panathur towards doddakannelli road bad condition  consider bbmp informed,unknown,ORR East 1,unknown,unknown,49.972616783333336,0,4,4,3,10969136194,9846394225,0,26.744337595553105,False,0.009141608414114497
12.9690624,77.5872736,"Nrupatunga Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,True,bmtc bus breck down startig agatilla sir,bmtc_bus,Mysore Road,unknown,unknown,111.6212591,0,5,4,3,663311696,10044013422,0,4.593680881786018,False,0.0056944347893253
12.8700974,77.6533824,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,ಹೊಸ ರೋಡ್ ಸಿಗ್ನಲ್ ಸರ್ ಟೂ ವರ್ಡ್ಸ್ ಹೊಸೂರ ಸ್ಟಾರ್ಟೆರ್ ಪ್ರಾಬ್ಲಮ್ ವೀಲ್ ಜಾಮ್ ಸರ್,bmtc_bus,Hosur Road,unknown,unknown,52.83199456666667,0,5,4,3,6136172561,7478079930,0,0.921735278380379,False,0.0001572754541124371
12.9793286,77.5105419,"Kengeri Main Road, Nagarbhavi BDA Shopping Complex, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",others,False,30 minutes clear bmtc bus air pipe cut agide,unknown,Non-corridor,unknown,unknown,81.46960444999999,0,6,4,3,1575576657,62053640,0,5.636706484697344,False,0.004099512094645915
12.94819783,77.53467664,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",others,False,Vehicle starting problem,unknown,Mysore Road,unknown,unknown,15.3042995,0,4,3,2,699684302,1780334125,0,0.1946076828577184,False,0.005393967481558723
13.022765,77.6014354,"2nd Cross Road, Mariappa Garden, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)",tree_fall,True,tree fall Dinnuru main rd Towards pushpanjali,unknown,Non-corridor,unknown,unknown,178.15932105,0,5,4,3,10094964529,5318359120,0,5.679614018511637,False,0.014609405373395641
13.1511992,77.620242,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",construction,False,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",unknown,Bellary Road 2,unknown,unknown,31.910260883333333,1,5,3,2,11486387657,13851353728,0,2520.5632686248728,True,2.3301020867930842e-06
12.9664142,77.5125512,"Dr Rajkumar Puniya Bhoomi Road, Malai Mahadeshwara Layout, Block 9, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",vehicle_breakdown,False,Starting problem,truck,Non-corridor,unknown,unknown,11.80107465,0,6,3,2,11873401772,11837026152,0,2.2346052571407835,False,4.196758454665997e-06
12.9758786,77.5643384,"G Narayana Kumar Road, Prestige West Woods, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",vehicle_breakdown,False,traffic normal sir,auto,Magadi Road,unknown,unknown,24.50433823333333,0,6,4,3,10044622840,4703697696,0,1.503263925711719,False,0.00037393632770761723
12.9124656,77.5805324,"5th Cross Road, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",tree_fall,False,[LOCATION] sir 32 nd main 5 th cross 1 st phase jp nagar tree fallen on road side,unknown,Non-corridor,unknown,unknown,1228.0686473666667,0,11,3,3,305158074,5354016784,0,17.515316004022434,False,0.001856743778884898
13.0378641,77.5222897,"Mumbai Bengaluru Highway, Namma Metro Circle, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,[PERSON],lcv,Tumkur Road,unknown,unknown,86.29591815,0,7,3,2,1054665144,3834008960,0,1.1174347240974678,False,2.793547805713256e-06
13.0436683,77.6067467,"MBT Road, SNN Clermont, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,BMTC volvo bus off road due to wheel jam near lumbini garden towards veeranapalya sir,bmtc_bus,ORR North 1,unknown,unknown,18.84050655,0,8,3,2,1681844139,11850325025,0,3.628927036931937,False,1.7289100014160843e-05
13.0145688,77.5835164,"Sir CV Raman Road, Enayathulla Mehkri Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",vehicle_breakdown,False,tyre puncture,lcv,Bellary Road 1,unknown,unknown,23.641425966666667,0,8,3,2,2703669948,11645479502,0,2.752059992910248,False,0.014264447276612727
13.0186759,77.5588615,"1st Main Road, Samvidhana Circle, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,10minutes it will be cleared sir,lcv,Tumkur Road,unknown,unknown,36.504006333333336,0,9,4,3,12408651403,426941397,0,11.51994034034658,False,0.0033931178310740357
12.9494883,77.5368741,"Mysore Road, KIMCO Junction, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,True,,ksrtc_bus,Mysore Road,unknown,unknown,23.38282283333333,0,9,4,3,12404749228,2224183083,0,13.340279146016618,False,0.03816556598308423
13.0229482,77.601028,"Dinnur Main Road, Mariappa Garden, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)",vehicle_breakdown,False,traffic slow,others,Non-corridor,unknown,unknown,104.21347743333334,0,9,4,3,2738971487,10848479262,0,0.3340797453474677,False,0.023059527027896858
12.9928917,77.5854867,"Sankey Cross Road, Abshot Layout, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,Private Bus Cluch fail ..vehicle stopped in side Road  ..traffic moving side road,private_bus,Bellary Road 1,unknown,unknown,86.29412574999999,0,7,3,2,3236644363,461755265,0,3.734001902712893,False,2.5746984384453973e-05
12.9625233,77.6415686,"Domlur Inner Ring Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",vehicle_breakdown,False,,private_car,Old Airport Road,unknown,unknown,70.8526748,0,9,4,3,286681963,286654942,0,3.155900931839957,False,0.00024500830340246397
12.9891874,77.5070709,"Magadi Main Road, Muthuraya Swamy Extension, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",vehicle_breakdown,False,Wheel Puncher..,heavy_vehicle,Magadi Road,unknown,unknown,72.9697583,0,9,4,3,4692323159,4692323158,0,7.229337931507053,False,0.009317215721108666
13.16120295,77.62691818,"Vidya Nagar Cross Road, Vidyanagar Junction, Chikkajala, Bengaluru, Karnataka. Pin-562157 (India)",construction,False,Road work,unknown,Bellary Road 2,unknown,unknown,60.798384383333335,0,9,3,2,4950155142,4950155141,0,3768.8848930507183,True,6.436746096113493e-06
12.8569988,77.5889807,"Bannerghatta Main Road, Anjanapura Upavalaya, Gottigere, Bengaluru, Karnataka. Pin-560083 (India)",others,False,BMTS bus offload in gottigere bus stop.starting problam,unknown,Bannerghata Road,unknown,unknown,119.5907288,0,10,3,2,13296328816,13296328822,0,3.763432550423562,False,0.002178748439089072
12.9446407,77.5969852,"Hosur Road, Wilson Manor Apartment, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",vehicle_breakdown,False,Vaccum problem,bmtc_bus,Non-corridor,unknown,unknown,78.98550595,0,9,3,2,248181106,1448635305,0,2.7604489979840054,False,0.01099046074228556
13.0414238,77.545608,"Outer Ring Road, Sharadamba Nagar, Jalahalli Village, Jalahalli, Bengaluru, Karnataka. Pin-560013 (India)",vehicle_breakdown,False,,truck,ORR North 2,unknown,unknown,138.03128305,0,11,4,3,10101014915,9187809762,0,4.989266827559335,False,1.4727275067907672e-05
12.95983785,77.64811735,"Old Airport Road, RMZ Titanium, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",vehicle_breakdown,False,Vehicle breakdown at old airport road opp [PERSON] hotel,lcv,Old Airport Road,unknown,unknown,28.37677448333333,0,11,3,2,298830842,298830949,0,1.1980603815244317,False,0.010694344674879955
12.9197329,77.5835635,"9th Main Road, Block 5, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",vehicle_breakdown,False,,bmtc_bus,Non-corridor,unknown,unknown,93.05635131666666,0,11,4,3,7287518225,7287518226,0,7.243550068935588,False,3.432073018447714e-05
12.8885722,77.640446,"Hosur Road, SNN Estates, Chikka Begur Gate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,Traffic no problem sir,others,Hosur Road,unknown,unknown,11.49699995,0,12,3,2,7466389297,11919389038,0,3.1728574501103823,False,0.00961223754167793
12.9541849,77.5435568,"Mysore Road, Bengaluru Body Builders Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,Bolt cut,bmtc_bus,Mysore Road,unknown,unknown,66.23017465000001,0,12,3,2,11900286915,1833036999,0,12.480536754177377,False,0.008900886983612044
12.9679023,77.5680413,"Dr TCM Royan Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",others,False,vehicle starting problem sir,unknown,Non-corridor,unknown,unknown,199.88949181666663,0,11,4,3,10026312487,429001217,0,2.46439809985438,False,0.011235829503469406
12.9013118,77.6322397,"Hosur Road, Garvebavipalya Junction, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,Private bus offroaded on ec flyover inbetween gb palya towords Hongsandra metro staion towords bommanahalli traffic movement slow ide sir,private_bus,Hosur Road,unknown,unknown,75.03727443333334,0,14,3,2,3554996303,1311837516,0,2.6848766478745465,False,0.008401614335920906
13.0379483,77.6257684,"MBT Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",others,False,bmtc bus is stucked at service road,unknown,Hennur Main Road,unknown,unknown,43.87439846666667,0,11,4,3,353187827,353187828,0,1.0316358234592322,False,0.010115603959886199
13.0176948,77.553788,"Chord Road, Aparna Elina, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,There is a bit of traffic congestion.,others,Tumkur Road,unknown,unknown,22.17472708333333,0,1,4,2,6575118683,473755428,0,0.27892468650906965,False,5.162270369083021e-06
12.9441328,77.5010682,"Mariyappanapalya Main Road, Dhanvanthri Layout, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",tree_fall,True,,unknown,Non-corridor,unknown,unknown,105.48940756666666,0,12,4,3,2246716668,10081235849,0,1.4847381088432146,False,0.011377682513935556
12.9643404,77.5855854,"Sri Narsimha Rao Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,False,LGV ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,lcv,Mysore Road,unknown,unknown,57.51257438333334,0,2,4,2,12077162815,12128921371,0,6.92687569511071,False,0.004075979350918524
13.0451384,77.5070153,"8th Main Road, Hesaragatta Cross Junction, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",vehicle_breakdown,False,,heavy_vehicle,Tumkur Road,unknown,unknown,33.33879541666667,0,2,4,2,9845753061,6033543904,0,6.911847933071336,False,8.367769924947541e-05
12.9474732,77.5340694,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,City incoming side BHEL 2nd gate opposite mahindra showroom slow moving traffic,private_bus,Mysore Road,unknown,unknown,39.6093981,0,12,4,3,248671281,11387074773,0,21.095546508239373,False,6.436746096113493e-06
13.0355513,77.5265219,"Mumbai Bengaluru Highway, Peenya 2nd Block, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,peenya flyover incoming car off road due to starting problem at peenya industry [LOCATION] station on flyover vehicles are one side moving towards goragontepalya.,private_car,Tumkur Road,unknown,unknown,10.150965166666667,0,13,4,3,1054665144,3834008960,0,1.2650187044234225,False,2.793547805713256e-06
12.92335,77.58296,"36th Cross Road, Shri Satya Sai Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,True,,unknown,Non-corridor,unknown,unknown,66.3340463,0,13,4,3,11913265913,493514805,0,0.31596584088049245,False,0.00046447559829554966
12.9390583,77.6946217,"Kadubeesanahalli Underpass, LGCL United Towers, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",vehicle_breakdown,False,ನಮಸ್ಕಾರ ಮೇಡಂ,bmtc_bus,ORR East 1,unknown,unknown,19.115834,0,4,4,2,2156205416,2130361899,0,6.87459222306469,False,0.010334144363341444
